|6.6.6
echonhy_1.tab                                                                                       
           2
P(bar)  
   1.0000000000000000     
   201.33557046979865     
         150
T(K)    
   273.00000000000000     
   10.050251256281408     
         200
           5
rho,kg/m3      vp,km/s        vs,km/s        cp,J/K/m3      alpha,1/K     
  3455.235       5.788787       2.367161       3983919.      0.3493031E-04
  3456.653       5.792964       2.370996       3981842.      0.3490061E-04
  3457.448       5.794727       2.371364       3982225.      0.3486705E-04
  3457.893       5.795510       2.370026       3983659.      0.3482803E-04
  3458.687       5.797264       2.370394       3984041.      0.3479461E-04
  3460.034       5.800148       2.373124       3983085.      0.3477747E-04
  3460.826       5.801913       2.373492       3983465.      0.3474414E-04
  3461.736       5.803609       2.374153       3983808.      0.3471789E-04
  3462.528       5.805375       2.374522       3984187.      0.3468467E-04
  3463.459       5.807180       2.375248       3984415.      0.3466122E-04
  3464.249       5.808948       2.375617       3984792.      0.3462811E-04
  3465.039       5.810714       2.375985       3985169.      0.3459507E-04
  3464.675       5.808776       2.370684       3989361.      0.3454033E-04
  3465.464       5.810519       2.371052       3989738.      0.3450748E-04
  3467.739       5.816220       2.378069       3985908.      0.3451507E-04
  3468.526       5.817989       2.378438       3986281.      0.3448225E-04
  3468.355       5.818755       2.375597       3988019.      0.3440687E-04
  3469.141       5.820499       2.375965       3988392.      0.3437426E-04
  3471.382       5.823487       2.380798       3986971.      0.3441650E-04
  3472.168       5.825264       2.381168       3987341.      0.3438388E-04
  3472.953       5.827039       2.381538       3987710.      0.3435132E-04
  3474.017       5.828925       2.382612       3987863.      0.3433667E-04
  3474.801       5.830704       2.382983       3988231.      0.3430420E-04
  3475.894       5.832615       2.384124       3988349.      0.3429132E-04
  3476.677       5.834397       2.384495       3988715.      0.3425895E-04
  3477.827       5.836345       2.385770       3988777.      0.3424948E-04
  3478.609       5.838132       2.386141       3989141.      0.3421720E-04
  3479.812       5.840284       2.387611       3989170.      0.3421317E-04
  3480.593       5.842077       2.387982       3989532.      0.3418098E-04
  3479.154       5.842394       2.382512       3991723.      0.3401702E-04
  3479.933       5.844135       2.382880       3992085.      0.3398515E-04
  3480.711       5.845876       2.383248       3992447.      0.3395335E-04
  3484.733       5.850046       2.392056       3990178.      0.3411799E-04
  3485.511       5.851850       2.392429       3990536.      0.3408602E-04
  3484.030       5.852236       2.387132       3992391.      0.3391595E-04
  3484.806       5.853991       2.387502       3992749.      0.3388430E-04
  3485.581       5.855744       2.387871       3993107.      0.3385271E-04
  3486.357       5.857496       2.388241       3993464.      0.3382118E-04
  3487.131       5.859246       2.388610       3993820.      0.3378972E-04
  3487.905       5.860995       2.388980       3994176.      0.3375831E-04
  3488.678       5.862742       2.389349       3994530.      0.3372696E-04
  3494.595       5.869208       2.402727       3991250.      0.3401512E-04
  3495.369       5.871044       2.403104       3991598.      0.3398348E-04
  3492.673       5.869754       2.394727       3994219.      0.3373917E-04
  3493.445       5.871525       2.395099       3994569.      0.3370793E-04
