|6.6.6
pyro_1.tab                                                                                          
           2
P(bar)  
   1.0000000000000000     
   201.33557046979865     
         150
T(K)    
   273.00000000000000     
   10.050251256281408     
         200
           5
rho,kg/m3      vp,km/s        vs,km/s        cp,J/K/m3      alpha,1/K     
  3436.066       8.488553       4.913644       2819443.      0.1958465E-04
  3436.578       8.490222       4.914125       2819806.      0.1956591E-04
  3437.090       8.491891       4.914605       2819846.      0.1954678E-04
  3437.601       8.493559       4.915085       2820083.      0.1952844E-04
  3438.112       8.495225       4.915565       2820193.      0.1950957E-04
  3438.623       8.496891       4.916044       2820324.      0.1949079E-04
  3439.134       8.498555       4.916523       2820422.      0.1947210E-04
  3439.644       8.500219       4.917001       2820467.      0.1945346E-04
  3440.458       8.502220       4.916481       2821153.      0.1942988E-04
  3440.967       8.503878       4.916958       2821535.      0.1941140E-04
  3441.004       8.503567       4.915508       2821169.      0.1938974E-04
  3441.513       8.505224       4.915985       2821389.      0.1937124E-04
  3442.271       8.507642       4.916818       2821685.      0.1935250E-04
  3442.780       8.509298       4.917295       2821766.      0.1933414E-04
  3443.288       8.510952       4.917772       2821955.      0.1931595E-04
  3443.796       8.512616       4.918252       2821904.      0.1929731E-04
  3444.304       8.514267       4.918728       2822425.      0.1927928E-04
  3444.811       8.515920       4.919204       2822184.      0.1926076E-04
  3445.318       8.517567       4.919679       2822617.      0.1924241E-04
  3445.824       8.519215       4.920154       2822930.      0.1922437E-04
  3446.331       8.520865       4.920628       2822649.      0.1920620E-04
  3446.837       8.522513       4.921102       2822647.      0.1918815E-04
  3447.343       8.524157       4.921576       2822957.      0.1917008E-04
  3447.848       8.525800       4.922050       2823299.      0.1915191E-04
  3448.782       8.528806       4.924210       2823407.      0.1914497E-04
  3449.287       8.530447       4.924683       2823614.      0.1912689E-04
  3449.792       8.532087       4.925155       2823850.      0.1910896E-04
  3450.296       8.533727       4.925626       2823783.      0.1909111E-04
  3450.800       8.535366       4.926098       2823710.      0.1907312E-04
  3451.304       8.537002       4.926569       2824006.      0.1905520E-04
  3451.807       8.538638       4.927039       2824082.      0.1903742E-04
  3452.311       8.540273       4.927509       2824386.      0.1901985E-04
  3452.814       8.541907       4.927979       2824423.      0.1900194E-04
  3453.316       8.543538       4.928449       2824688.      0.1898422E-04
  3453.819       8.545170       4.928918       2824832.      0.1896686E-04
  3454.506       8.548116       4.930973       2825032.      0.1895128E-04
  3455.008       8.549746       4.931442       2824973.      0.1893359E-04
  3455.509       8.551374       4.931910       2825268.      0.1891638E-04
  3456.010       8.553000       4.932377       2825496.      0.1889873E-04
  3456.511       8.554628       4.932845       2825435.      0.1888118E-04
  3457.012       8.556253       4.933312       2825565.      0.1886381E-04
  3457.512       8.557876       4.933778       2825821.      0.1884651E-04
  3458.013       8.559497       4.934245       2826141.      0.1882884E-04
  3458.512       8.561120       4.934711       2826139.      0.1881152E-04
  3459.012       8.562741       4.935176       2826175.      0.1879421E-04
  3459.511       8.564361       4.935642       2826229.      0.1877694E-04
  3460.010       8.565979       4.936107       2826524.      0.1875974E-04
  3460.509       8.567597       4.936571       2826420.      0.1874235E-04
  3461.008       8.569214       4.937036       2826514.      0.1872525E-04
  3461.506       8.570829       4.937500       2826731.      0.1870805E-04
  3462.004       8.572443       4.937964       2826874.      0.1869092E-04
  3462.501       8.574057       4.938427       2826933.      0.1867389E-04
  3462.999       8.575669       4.938890       2826966.      0.1865642E-04
  3463.543       8.577215       4.939245       2827058.      0.1864263E-04
  3464.039       8.578825       4.939707       2827363.      0.1862573E-04
  3464.536       8.580433       4.940169       2827450.      0.1860864E-04
  3465.032       8.582041       4.940631       2827563.      0.1859184E-04
  3465.528       8.583648       4.941093       2827681.      0.1857507E-04
  3466.024       8.585253       4.941554       2827910.      0.1855780E-04
  3466.520       8.586859       4.942015       2827736.      0.1854112E-04
  3467.015       8.588462       4.942475       2828165.      0.1852443E-04
  3467.510       8.590063       4.942935       2828502.      0.1850770E-04
  3468.005       8.591666       4.943395       2828325.      0.1849066E-04
  3468.499       8.593266       4.943855       2828522.      0.1847403E-04
  3468.993       8.594866       4.944314       2828539.      0.1845716E-04
  3469.487       8.596465       4.944773       2828607.      0.1844085E-04
  3469.981       8.598061       4.945232       2829029.      0.1842418E-04
