|6.6.6
echon_4.tab                                                                                         
           2
P(bar)  
   1.0000000000000000     
   201.33557046979865     
         150
T(K)    
   273.00000000000000     
   10.050251256281408     
         200
           5
rho,kg/m3      vp,km/s        vs,km/s        cp,J/K/m3      alpha,1/K     
  3527.421       8.032443       4.643034       2892087.      0.2016627E-04
  3527.993       8.034511       4.643559       2892349.      0.2014075E-04
  3528.564       8.036576       4.644083       2892657.      0.2011496E-04
  3529.134       8.038641       4.644608       2892896.      0.2008955E-04
  3529.704       8.040703       4.645132       2893035.      0.2006428E-04
  3530.398       8.043414       4.645914       2893338.      0.2004368E-04
  3530.968       8.045471       4.646437       2893562.      0.2001844E-04
  3531.536       8.047528       4.646959       2893767.      0.1999319E-04
  3532.104       8.049582       4.647482       2893873.      0.1996802E-04
  3532.672       8.051635       4.648003       2894080.      0.1994309E-04
  3533.240       8.053686       4.648525       2894279.      0.1991788E-04
  3533.806       8.055735       4.649046       2894542.      0.1989300E-04
  3534.373       8.057781       4.649567       2894805.      0.1986819E-04
  3534.939       8.059828       4.650087       2894874.      0.1984331E-04
  3535.504       8.061872       4.650607       2894973.      0.1981834E-04
  3536.069       8.063913       4.651127       2895235.      0.1979370E-04
  3536.634       8.065953       4.651646       2895563.      0.1976933E-04
  3537.198       8.067991       4.652165       2895725.      0.1974468E-04
  3537.762       8.070027       4.652683       2895926.      0.1972000E-04
  3538.326       8.072063       4.653201       2896005.      0.1969565E-04
  3538.889       8.074096       4.653719       2896254.      0.1967135E-04
  3539.451       8.076127       4.654236       2896420.      0.1964696E-04
  3540.013       8.078157       4.654753       2896566.      0.1962280E-04
  3540.686       8.080807       4.655539       2896868.      0.1960285E-04
  3541.247       8.082831       4.656055       2897209.      0.1957856E-04
  3541.808       8.084855       4.656571       2897320.      0.1955490E-04
  3542.368       8.086877       4.657087       2897543.      0.1953076E-04
  3542.928       8.088897       4.657601       2897813.      0.1950694E-04
  3543.487       8.090916       4.658116       2897801.      0.1948306E-04
  3544.046       8.092932       4.658630       2898086.      0.1945904E-04
  3544.605       8.094947       4.659144       2898286.      0.1943541E-04
  3545.163       8.096961       4.659658       2898302.      0.1941185E-04
  3545.721       8.098972       4.660171       2898651.      0.1938798E-04
  3546.278       8.100981       4.660683       2898889.      0.1936442E-04
  3546.835       8.102988       4.661196       2899117.      0.1934094E-04
  3547.391       8.104996       4.661708       2899212.      0.1931760E-04
  3547.947       8.106999       4.662219       2899507.      0.1929402E-04
  3548.503       8.109003       4.662731       2899628.      0.1927046E-04
  3549.058       8.111005       4.663242       2899743.      0.1924744E-04
  3549.613       8.113004       4.663752       2899962.      0.1922427E-04
