|6.6.6
epyro_2.tab                                                                                         
           2
P(bar)  
   1.0000000000000000     
   201.33557046979865     
         150
T(K)    
   273.00000000000000     
   10.050251256281408     
         200
           5
rho,kg/m3      vp,km/s        vs,km/s        cp,J/K/m3      alpha,1/K     
  3467.984       8.600477       4.963570       2824270.      0.1885007E-04
  3468.480       8.602050       4.964036       2824299.      0.1883343E-04
  3468.976       8.603622       4.964501       2824251.      0.1881662E-04
  3469.472       8.605192       4.964966       2824379.      0.1879995E-04
  3469.967       8.606762       4.965430       2824610.      0.1878336E-04
  3470.463       8.608331       4.965895       2824498.      0.1876661E-04
  3470.958       8.609897       4.966358       2824892.      0.1875031E-04
  3471.453       8.611465       4.966822       2824839.      0.1873386E-04
  3471.947       8.613029       4.967285       2825136.      0.1871697E-04
  3472.441       8.614594       4.967748       2825236.      0.1870052E-04
  3472.936       8.616156       4.968211       2825542.      0.1868385E-04
  3473.429       8.617719       4.968673       2825561.      0.1866748E-04
  3473.923       8.619281       4.969135       2825692.      0.1865118E-04
  3474.416       8.620842       4.969597       2825726.      0.1863469E-04
  3474.909       8.622403       4.970058       2825593.      0.1861844E-04
  3479.355       8.631671       4.968931       2831344.      0.1860245E-04
  3479.846       8.633219       4.969391       2831646.      0.1858635E-04
  3480.337       8.634768       4.969850       2831697.      0.1857004E-04
  3480.827       8.636317       4.970309       2831588.      0.1855405E-04
  3481.317       8.637861       4.970767       2832070.      0.1853791E-04
  3481.807       8.639408       4.971225       2832137.      0.1852195E-04
  3482.297       8.640954       4.971683       2832063.      0.1850588E-04
  3482.786       8.642496       4.972141       2832375.      0.1848986E-04
  3489.604       8.655215       4.967549       2841871.      0.1846513E-04
  3490.090       8.656745       4.968005       2841838.      0.1844947E-04
  3490.576       8.658273       4.968460       2841877.      0.1843382E-04
  3491.062       8.659801       4.968915       2841938.      0.1841816E-04
  3491.547       8.661328       4.969369       2841906.      0.1840250E-04
  3492.032       8.662852       4.969823       2842280.      0.1838690E-04
  3492.517       8.664375       4.970277       2842463.      0.1837132E-04
  3493.002       8.665897       4.970730       2842764.      0.1835580E-04
  3493.486       8.667421       4.971183       2842732.      0.1834022E-04
  3493.970       8.668943       4.971636       2842715.      0.1832497E-04
  3494.454       8.670464       4.972089       2842870.      0.1830957E-04
  3494.938       8.671984       4.972541       2842936.      0.1829380E-04
  3495.421       8.673502       4.972993       2843094.      0.1827843E-04
  3495.905       8.675020       4.973445       2843150.      0.1826293E-04
  3496.387       8.676537       4.973896       2843206.      0.1824763E-04
  3496.870       8.678052       4.974347       2843510.      0.1823233E-04
  3502.495       8.688639       4.971247       2850996.      0.1822139E-04
  3502.975       8.690142       4.971696       2851021.      0.1820602E-04
  3504.459       8.693238       4.971271       2852875.      0.1819318E-04
  3504.939       8.694739       4.971720       2852843.      0.1817828E-04
  3505.418       8.696235       4.972168       2853268.      0.1816288E-04
  3505.896       8.697736       4.972615       2852750.      0.1814802E-04
  3506.375       8.699232       4.973063       2853191.      0.1813329E-04
  3506.853       8.700727       4.973510       2853417.      0.1811820E-04
  3350.400       7.491615       3.776831       2812662.      0.2073217E-04
  3350.942       8.259431       4.829220       2812792.      0.2071344E-04
  3377.571       8.311834       4.852619       2834786.      0.2140850E-04
  3378.111       8.313585       4.853149       2835072.      0.2138577E-04
  3378.659       8.315481       4.853744       2835107.      0.2136355E-04
  3379.199       8.317230       4.854273       2835219.      0.2134112E-04
  3379.738       8.318977       4.854802       2835452.      0.2131869E-04
  3380.277       8.320722       4.855330       2835670.      0.2129628E-04
  3380.816       8.322467       4.855858       2835630.      0.2127402E-04
  3381.354       8.324210       4.856386       2836029.      0.2125165E-04
  3381.892       8.325951       4.856913       2836167.      0.2122957E-04
  3382.439       8.327784       4.857478       2836186.      0.2120776E-04
  3382.976       8.329523       4.858004       2836384.      0.2118568E-04
  3383.513       8.331261       4.858530       2836599.      0.2116359E-04
  3384.050       8.332997       4.859056       2836746.      0.2114163E-04
  3384.815       8.335419       4.859982       2836942.      0.2111871E-04
  3385.351       8.337151       4.860507       2837237.      0.2109675E-04
  3390.528       8.354550       4.869873       2842551.      0.2105643E-04
  3391.062       8.356273       4.870393       2842717.      0.2103455E-04
  3391.595       8.357997       4.870912       2842739.      0.2101325E-04
  3392.128       8.359716       4.871432       2843091.      0.2099141E-04
  3392.660       8.361435       4.871950       2843246.      0.2097004E-04
  3393.193       8.363156       4.872469       2843197.      0.2094862E-04
  3393.725       8.364873       4.872987       2843313.      0.2092723E-04
  3394.256       8.366590       4.873505       2843457.      0.2090593E-04
  3394.788       8.368304       4.874022       2843566.      0.2088468E-04
  3403.550       8.397111       4.889857       2852643.      0.2083605E-04
  3404.078       8.398808       4.890367       2853215.      0.2081512E-04
  3404.606       8.400507       4.890877       2853259.      0.2079405E-04
  3405.133       8.402205       4.891387       2853365.      0.2077345E-04
  3405.660       8.403901       4.891896       2853498.      0.2075278E-04
  3406.186       8.405595       4.892405       2853833.      0.2073197E-04
  3406.713       8.407290       4.892913       2853662.      0.2071152E-04
  3407.238       8.408982       4.893421       2853943.      0.2069074E-04
  3407.764       8.410672       4.893928       2854189.      0.2067005E-04
  3407.435       8.409617       4.892381       2853457.      0.2064842E-04
  3407.960       8.411308       4.892888       2853532.      0.2062803E-04
  3408.485       8.412996       4.893395       2853785.      0.2060756E-04
  3409.010       8.414683       4.893902       2853964.      0.2058708E-04
  3409.534       8.416370       4.894409       2853917.      0.2056663E-04
  3410.058       8.418054       4.894915       2854194.      0.2054629E-04
  3410.582       8.419740       4.895420       2854140.      0.2052606E-04
  3411.105       8.421420       4.895925       2854611.      0.2050581E-04
  3411.628       8.423104       4.896430       2854476.      0.2048574E-04
  3412.151       8.424783       4.896935       2854607.      0.2046536E-04
  3412.674       8.426463       4.897439       2854828.      0.2044533E-04
  3423.124       8.460177       4.914454       2866345.      0.2039230E-04
  3423.642       8.461838       4.914950       2866427.      0.2037262E-04
  3424.160       8.463499       4.915446       2866634.      0.2035327E-04
  3424.678       8.465157       4.915941       2866926.      0.2033361E-04
  3425.195       8.466816       4.916436       2866782.      0.2031401E-04
  3425.712       8.468473       4.916931       2866962.      0.2029437E-04
  3426.229       8.470129       4.917425       2867139.      0.2027505E-04
  3426.745       8.471783       4.917919       2867224.      0.2025552E-04
  3427.262       8.473436       4.918412       2867459.      0.2023617E-04
  3427.778       8.475088       4.918905       2867640.      0.2021665E-04
  3428.293       8.476739       4.919398       2867791.      0.2019753E-04
  3428.808       8.478390       4.919891       2867770.      0.2017805E-04
  3429.324       8.480037       4.920383       2868130.      0.2015885E-04
  3429.838       8.481686       4.920874       2868072.      0.2013986E-04
  3430.353       8.483331       4.921366       2868474.      0.2012065E-04
  3430.867       8.484976       4.921857       2868735.      0.2010151E-04
  3431.381       8.486622       4.922347       2868505.      0.2008248E-04
  3431.894       8.488265       4.922838       2868655.      0.2006322E-04
  3439.188       8.510431       4.932298       2877006.      0.2002548E-04
  3439.699       8.512061       4.932783       2877263.      0.2000676E-04
  3440.209       8.513690       4.933267       2877298.      0.1998795E-04
  3440.719       8.515318       4.933752       2877435.      0.1996940E-04
  3441.229       8.516945       4.934236       2877610.      0.1995094E-04
  3441.738       8.518571       4.934719       2877653.      0.1993218E-04
  3442.247       8.520194       4.935203       2877964.      0.1991362E-04
  3442.756       8.521819       4.935686       2877963.      0.1989525E-04
  3443.264       8.523442       4.936168       2877926.      0.1987660E-04
  3443.772       8.525063       4.936651       2878178.      0.1985830E-04
  3444.280       8.526682       4.937132       2878518.      0.1983951E-04
  3444.788       8.528302       4.937614       2878472.      0.1982147E-04
  3445.295       8.529919       4.938095       2878706.      0.1980304E-04
  3445.802       8.531536       4.938576       2878863.      0.1978469E-04
