|6.6.6
chon_1.tab                                                                                          
           2
P(bar)  
   1.0000000000000000     
   201.33557046979865     
         150
T(K)    
   273.00000000000000     
   10.050251256281408     
         200
           5
rho,kg/m3      vp,km/s        vs,km/s        cp,J/K/m3      alpha,1/K     
  3564.951       8.156220       4.631631       2833805.      0.1856843E-04
  3565.486       8.158036       4.632139       2833975.      0.1854860E-04
  3586.384       8.249962       4.688857       2842356.      0.1834431E-04
  3586.911       8.251760       4.689351       2842544.      0.1832522E-04
  3579.924       8.220632       4.669426       2839742.      0.1837731E-04
  3580.454       8.222430       4.669924       2839944.      0.1835797E-04
  3580.983       8.224230       4.670422       2839895.      0.1833882E-04
  3581.512       8.226026       4.670919       2840234.      0.1831937E-04
  3582.040       8.227821       4.671416       2840383.      0.1830015E-04
  3582.569       8.229615       4.671913       2840624.      0.1828118E-04
  3583.097       8.231409       4.672409       2840617.      0.1826204E-04
  3583.624       8.233200       4.672906       2840845.      0.1824290E-04
  3584.151       8.234990       4.673401       2841047.      0.1822390E-04
  3600.979       8.309512       4.718861       2847714.      0.1807277E-04
  3601.500       8.311284       4.719346       2847997.      0.1805433E-04
  3611.435       8.355360       4.745687       2851917.      0.1796519E-04
  3611.952       8.357123       4.746165       2851963.      0.1794710E-04
  3612.468       8.358883       4.746642       2852079.      0.1792907E-04
  3612.984       8.360642       4.747120       2852259.      0.1791112E-04
  3613.499       8.362401       4.747597       2852337.      0.1789298E-04
  3614.014       8.364158       4.748074       2852517.      0.1787510E-04
  3614.529       8.365913       4.748550       2852739.      0.1785720E-04
  3615.044       8.367667       4.749026       2852828.      0.1783947E-04
  3615.558       8.369419       4.749502       2853090.      0.1782152E-04
  3616.072       8.371172       4.749977       2853022.      0.1780388E-04
  3616.585       8.372922       4.750452       2853301.      0.1778607E-04
  3617.098       8.374670       4.750927       2853501.      0.1776826E-04
  3617.611       8.376418       4.751402       2853598.      0.1775057E-04
  3618.124       8.378165       4.751876       2853673.      0.1773295E-04
  3618.636       8.379911       4.752350       2853761.      0.1771544E-04
  3619.148       8.381654       4.752823       2854127.      0.1769774E-04
  3635.628       8.455476       4.796539       2860470.      0.1755533E-04
  3636.133       8.457205       4.797002       2860536.      0.1753800E-04
  3636.638       8.458932       4.797464       2860862.      0.1752118E-04
  3637.142       8.460658       4.797927       2860988.      0.1750412E-04
  3637.646       8.462383       4.798389       2861056.      0.1748697E-04
  3638.150       8.464107       4.798850       2861215.      0.1747008E-04
  3638.654       8.465830       4.799312       2861377.      0.1745333E-04
  3639.157       8.467551       4.799773       2861479.      0.1743636E-04
  3410.616       6.899702       3.314510       2825839.      0.2211099E-04
  3411.235       7.666668       4.398801       2826127.      0.2208532E-04
  3411.870       7.668728       4.399437       2826274.      0.2205840E-04
  3412.505       7.670785       4.400073       2826499.      0.2203124E-04
  3413.139       7.672841       4.400707       2826778.      0.2200433E-04
  3413.773       7.674894       4.401342       2826971.      0.2197754E-04
  3414.466       7.677067       4.402061       2827346.      0.2195132E-04
  3415.099       7.679115       4.402694       2827696.      0.2192448E-04
  3506.619       7.954569       4.574348       2878396.      0.2135038E-04
  3507.195       7.956549       4.574895       2878720.      0.2132442E-04
  3507.770       7.958528       4.575442       2878973.      0.2129882E-04
  3508.345       7.960507       4.575989       2878941.      0.2127303E-04
  3508.920       7.962483       4.576535       2879230.      0.2124757E-04
  3509.494       7.964457       4.577081       2879385.      0.2122205E-04
  3510.068       7.966428       4.577627       2879680.      0.2119658E-04
  3510.641       7.968400       4.578172       2879804.      0.2117113E-04
  3511.214       7.970369       4.578716       2879841.      0.2114571E-04
  3511.786       7.973028       4.579645       2880140.      0.2112430E-04
  3512.358       7.974991       4.580188       2880504.      0.2109922E-04
  3512.930       7.976954       4.580731       2880640.      0.2107390E-04
  3513.501       7.978916       4.581274       2880679.      0.2104887E-04
  3514.072       7.980874       4.581817       2881067.      0.2102375E-04
  3514.642       7.982833       4.582359       2881013.      0.2099894E-04
  3515.212       7.984787       4.582900       2881356.      0.2097383E-04
  3515.781       7.986742       4.583442       2881435.      0.2094896E-04
  3516.350       7.988694       4.583983       2881628.      0.2092432E-04
  3516.919       7.990646       4.584523       2881696.      0.2089976E-04
  3517.487       7.992593       4.585063       2882034.      0.2087479E-04
  3518.145       7.995077       4.585752       2882144.      0.2085552E-04
  3518.713       7.997021       4.586291       2882513.      0.2083108E-04
  3519.280       7.998964       4.586830       2882722.      0.2080658E-04
  3519.846       8.000906       4.587368       2882904.      0.2078221E-04
  3520.412       8.002847       4.587906       2882820.      0.2075778E-04
  3520.978       8.004785       4.588444       2883031.      0.2073344E-04
  3521.543       8.006721       4.588981       2883373.      0.2070918E-04
  3522.108       8.008656       4.589518       2883522.      0.2068500E-04
  3522.672       8.010590       4.590054       2883602.      0.2066101E-04
  3523.236       8.012520       4.590590       2883862.      0.2063663E-04
  3523.800       8.014451       4.591126       2884042.      0.2061282E-04
  3524.363       8.016378       4.591661       2884376.      0.2058898E-04
  3524.926       8.018306       4.592196       2884420.      0.2056487E-04
  3525.489       8.020231       4.592730       2884602.      0.2054119E-04
  3526.051       8.022154       4.593264       2884831.      0.2051734E-04
  3526.612       8.024076       4.593798       2884964.      0.2049370E-04
  3527.174       8.025995       4.594331       2885327.      0.2046993E-04
  3527.734       8.027915       4.594864       2885334.      0.2044638E-04
  3528.378       8.030314       4.595530       2885706.      0.2042800E-04
  3528.938       8.032229       4.596062       2885831.      0.2040435E-04
  3529.497       8.034142       4.596594       2886004.      0.2038100E-04
  3530.056       8.036054       4.597125       2886269.      0.2035751E-04
  3530.615       8.037964       4.597656       2886356.      0.2033439E-04
  3531.174       8.039873       4.598187       2886499.      0.2031088E-04
  3531.732       8.041779       4.598717       2886714.      0.2028769E-04
  3532.289       8.043684       4.599247       2887111.      0.2026469E-04
  3532.847       8.045588       4.599776       2887196.      0.2024169E-04
  3533.403       8.047491       4.600305       2887200.      0.2021840E-04
  3533.960       8.049391       4.600834       2887456.      0.2019545E-04
  3534.516       8.051290       4.601362       2887679.      0.2017250E-04
  3535.072       8.053187       4.601890       2887877.      0.2014957E-04
  3535.627       8.055083       4.602418       2888115.      0.2012674E-04
  3536.182       8.056977       4.602945       2888151.      0.2010385E-04
  3536.737       8.058870       4.603472       2888373.      0.2008125E-04
  3537.291       8.060761       4.603998       2888579.      0.2005850E-04
  3537.845       8.062651       4.604524       2888764.      0.2003592E-04
  3538.472       8.065014       4.605193       2889010.      0.2001821E-04
  3539.025       8.066900       4.605718       2889169.      0.1999569E-04
  3539.578       8.068784       4.606243       2889350.      0.1997319E-04
  3540.130       8.070666       4.606768       2889650.      0.1995074E-04
  3540.682       8.072548       4.607292       2889730.      0.1992841E-04
  3541.234       8.074429       4.607816       2889759.      0.1990591E-04
  3541.785       8.076307       4.608339       2890151.      0.1988389E-04
  3542.335       8.078184       4.608862       2890227.      0.1986167E-04
  3542.886       8.080060       4.609385       2890401.      0.1983939E-04
  3543.436       8.081933       4.609907       2890704.      0.1981730E-04
  3543.985       8.083805       4.610429       2890899.      0.1979524E-04
  3544.535       8.085677       4.610951       2891058.      0.1977325E-04
  3545.084       8.087546       4.611472       2891183.      0.1975129E-04
  3545.632       8.089413       4.611993       2891477.      0.1972933E-04
  3546.180       8.091281       4.612513       2891513.      0.1970758E-04
  3546.728       8.093146       4.613033       2891820.      0.1968563E-04
  3547.275       8.095009       4.613553       2891900.      0.1966400E-04
  3547.823       8.096872       4.614072       2892004.      0.1964210E-04
  3548.441       8.099128       4.614703       2892432.      0.1962523E-04
  3548.987       8.100987       4.615222       2892592.      0.1960360E-04
  3549.533       8.102845       4.615740       2892758.      0.1958218E-04
  3550.079       8.104700       4.616258       2892999.      0.1956066E-04
  3550.624       8.106555       4.616776       2893078.      0.1953919E-04
  3551.169       8.108408       4.617293       2893198.      0.1951780E-04
  3551.713       8.110259       4.617810       2893445.      0.1949641E-04
  3552.257       8.112110       4.618326       2893525.      0.1947501E-04
  3552.801       8.113958       4.618843       2893658.      0.1945378E-04
  3553.436       8.115431       4.618908       2894033.      0.1942669E-04
  3553.979       8.117279       4.619424       2894087.      0.1940549E-04
  3554.522       8.119124       4.619939       2894296.      0.1938413E-04
  3555.064       8.120969       4.620454       2894427.      0.1936323E-04
  3555.606       8.122811       4.620969       2894715.      0.1934200E-04
  3556.148       8.124653       4.621483       2894778.      0.1932104E-04
  3556.689       8.126493       4.621997       2894989.      0.1930010E-04
  3557.230       8.128331       4.622510       2895251.      0.1927907E-04
  3557.770       8.130169       4.623023       2895468.      0.1925828E-04
  3558.311       8.132004       4.623536       2895611.      0.1923734E-04
  3558.850       8.133839       4.624049       2895790.      0.1921662E-04
  3559.390       8.135672       4.624561       2895814.      0.1919588E-04
  3559.929       8.137504       4.625073       2896091.      0.1917521E-04
  3560.468       8.139334       4.625584       2896304.      0.1915449E-04
  3561.006       8.141162       4.626095       2896551.      0.1913391E-04
  3561.545       8.142990       4.626606       2896613.      0.1911347E-04
  3562.082       8.144815       4.627116       2896903.      0.1909281E-04
  3562.620       8.146640       4.627626       2897080.      0.1907255E-04
  3563.176       8.149032       4.628487       2897310.      0.1905964E-04
  3563.713       8.150853       4.628996       2897414.      0.1903926E-04
  3564.249       8.152671       4.629505       2897759.      0.1901880E-04
  3564.785       8.154489       4.630013       2897857.      0.1899869E-04
  3565.343       8.156238       4.630416       2897974.      0.1897656E-04
  3565.878       8.158054       4.630924       2898193.      0.1895634E-04
  3568.296       8.168282       4.636698       2898994.      0.1891992E-04
  3568.830       8.170093       4.637204       2899294.      0.1889987E-04
  3569.364       8.171903       4.637710       2899504.      0.1888001E-04
  3576.876       8.204860       4.657696       2902707.      0.1879946E-04
  3577.407       8.206660       4.658196       2902977.      0.1877967E-04
  3573.909       8.190674       4.647603       2901387.      0.1879797E-04
  3574.440       8.192475       4.648106       2901583.      0.1877829E-04
  3574.971       8.194275       4.648608       2901850.      0.1875837E-04
  3575.501       8.196074       4.649109       2901819.      0.1873879E-04
  3576.031       8.197871       4.649611       2902060.      0.1871914E-04
  3576.561       8.199667       4.650112       2902245.      0.1869951E-04
  3595.894       8.285485       4.702820       2910588.      0.1852640E-04
  3596.416       8.287262       4.703308       2910806.      0.1850760E-04
  3596.939       8.289037       4.703796       2910963.      0.1848855E-04
  3597.460       8.290811       4.704283       2911321.      0.1846984E-04
  3597.982       8.292584       4.704770       2911353.      0.1845117E-04
  3598.503       8.294355       4.705257       2911553.      0.1843221E-04
  3599.024       8.296125       4.705744       2911802.      0.1841347E-04
  3614.388       8.363997       4.746660       2918262.      0.1827572E-04
  3614.902       8.365753       4.747137       2918312.      0.1825740E-04
  3615.417       8.367506       4.747613       2918649.      0.1823934E-04
  3615.931       8.369259       4.748089       2918767.      0.1822127E-04
  3616.445       8.371010       4.748564       2918995.      0.1820301E-04
  3616.958       8.372761       4.749040       2919161.      0.1818516E-04
  3617.471       8.374510       4.749515       2919314.      0.1816700E-04
  3617.984       8.376257       4.749989       2919520.      0.1814886E-04
  3618.497       8.378004       4.750464       2919613.      0.1813106E-04
  3610.538       8.342572       4.728339       2916134.      0.1819084E-04
  3611.053       8.344322       4.728818       2916318.      0.1817284E-04
  3611.567       8.346068       4.729297       2916620.      0.1815476E-04
  3612.082       8.347816       4.729775       2916567.      0.1813665E-04
  3612.596       8.349561       4.730253       2916841.      0.1811868E-04
  3613.109       8.351305       4.730731       2917089.      0.1810059E-04
  3613.623       8.353048       4.731209       2917290.      0.1808274E-04
  3614.136       8.354790       4.731686       2917388.      0.1806473E-04
  3409.850       6.896424       3.312935       2880910.      0.2257844E-04
  3410.469       7.662777       4.396383       2881156.      0.2255256E-04
  3411.106       7.664840       4.397020       2881328.      0.2252508E-04
