|6.6.6
CV3hy1wt_678_1.tab                                                                                  
           2
P(bar)  
   1.0000000000000000     
   350.87468671679198     
         400
T(K)    
   275.00000000000000     
   9.1137123745819402     
         300
           9
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s        cp,J/K/m3      alpha,1/K      Ks,bar         Gs,bar        
  27369.23       275.0000       3740.209       5.860369       1.940988       4465926.      0.3354939E-04   1096655.       140909.9    
  27720.10       275.0000       3754.926       5.897655       1.961808       4521419.      0.3398430E-04   1113364.       144515.4    
  28070.97       275.0000       3756.167       5.900796       1.962703       4521735.      0.3393042E-04   1114947.       144695.1    
  28421.85       275.0000       3757.395       5.904116       1.963806       4521788.      0.3387484E-04   1116568.       144905.2    
  28772.72       275.0000       3758.692       5.906288       1.963595       4523493.      0.3383124E-04   1117959.       144924.0    
  29123.60       275.0000       3764.068       5.920880       2.061846       4508544.      0.3355057E-04   1106205.       160018.4    
  29474.47       275.0000       3765.359       5.924173       2.062850       4508622.      0.3349543E-04   1107845.       160229.2    
  29825.35       275.0000       3766.474       5.927676       2.064001       4508613.      0.3344021E-04   1109498.       160455.5    
  30176.22       275.0000       3767.729       5.930926       2.064971       4508781.      0.3338604E-04   1111119.       160659.8    
  30527.10       275.0000       3769.019       5.933484       2.065199       4509922.      0.3333870E-04   1112596.       160750.5    
  30877.97       275.0000       3770.277       5.936606       2.066036       4510260.      0.3328604E-04   1114190.       160934.5    
  31228.85       275.0000       3771.560       5.940293       2.067505       4509726.      0.3322755E-04   1115916.       161218.3    
  31579.72       275.0000       3772.777       5.943985       2.068964       4509300.      0.3317036E-04   1117628.       161497.9    
  31930.60       275.0000       3774.028       5.947235       2.069951       4509443.      0.3311696E-04   1119251.       161705.7    
  32281.47       275.0000       3775.287       5.948953       2.069297       4511783.      0.3307849E-04   1120532.       161657.4    
  32632.35       275.0000       3776.536       5.952065       2.070143       4512115.      0.3302668E-04   1122126.       161843.2    
  32983.22       275.0000       3777.784       5.955175       2.070989       4512447.      0.3297503E-04   1123719.       162029.0    
  33334.10       275.0000       3779.089       5.957632       2.071098       4513673.      0.3292981E-04   1125190.       162102.0    
  33684.97       275.0000       3780.328       5.960978       2.072289       4513596.      0.3287549E-04   1126818.       162341.7    
  34035.84       275.0000       3781.347       5.964931       2.074156       4513076.      0.3281899E-04   1128515.       162678.1    
  34386.72       275.0000       3782.841       5.966825       2.073610       4514769.      0.3277695E-04   1129929.       162656.9    
  34737.59       275.0000       3783.850       5.971075       2.075778       4513744.      0.3271699E-04   1131696.       163040.6    
  35088.47       275.0000       3785.313       5.972192       2.074446       4516720.      0.3268414E-04   1132918.       162894.4    
  35439.34       275.0000       3786.581       5.976121       2.076262       4515741.      0.3262498E-04   1134695.       163234.4    
  35790.22       275.0000       3787.821       5.979353       2.077290       4515850.      0.3257326E-04   1136314.       163449.6    
  36141.09       275.0000       3789.042       5.981641       2.077247       4517396.      0.3253114E-04   1137726.       163495.4    
  36491.97       275.0000       3790.301       5.984433       2.077824       4518163.      0.3248419E-04   1139249.       163640.7    
  36842.84       275.0000       3791.433       5.986962       2.077814       4519163.      0.3243776E-04   1140740.       163688.0    
  37193.72       275.0000       3792.690       5.989945       2.078631       4519754.      0.3239046E-04   1142301.       163871.1    
  37544.59       275.0000       3793.850       5.992824       2.079265       4520543.      0.3234372E-04   1143826.       164021.1    
  37895.47       275.0000       3795.149       5.995242       2.079398       4521690.      0.3229990E-04   1145290.       164098.3    
  38246.34       275.0000       3796.343       5.998039       2.079969       4522543.      0.3225382E-04   1146803.       164240.1    
  38597.22       275.0000       3797.503       6.000145       2.079569       4524279.      0.3221384E-04   1148198.       164227.1    
  38948.09       275.0000       3798.742       6.002827       2.080005       4525146.      0.3216830E-04   1149703.       164349.6    
  39298.96       275.0000       3800.086       6.005754       2.080785       4525624.      0.3212079E-04   1151281.       164531.1    
  39649.84       275.0000       3801.221       6.008556       2.081347       4526435.      0.3207515E-04   1152786.       164669.1    
  40000.71       275.0000       3802.484       6.012876       2.083674       4524712.      0.3201338E-04   1154653.       165092.4    
  40351.59       275.0000       3803.683       6.014144       2.082345       4527709.      0.3198205E-04   1155878.       164933.8    
  40702.46       275.0000       3804.913       6.016893       2.082996       4528467.      0.3193636E-04   1157372.       165090.3    
  41053.34       275.0000       3806.107       6.020001       2.083942       4528737.      0.3188792E-04   1158959.       165292.1    
  41404.21       275.0000       3807.339       6.022478       2.084065       4529975.      0.3184612E-04   1160444.       165365.1    
  41755.09       275.0000       3808.612       6.025131       2.084841       4530972.      0.3180278E-04   1161885.       165543.8    
  42105.96       275.0000       3809.797       6.028611       2.086007       4530523.      0.3175000E-04   1163598.       165780.5    
  42456.84       275.0000       3811.015       6.031428       2.086629       4531189.      0.3170455E-04   1165133.       165932.4    
  42807.71       275.0000       3812.365       6.033515       2.086529       4532828.      0.3166589E-04   1166527.       165975.2    
  43158.59       275.0000       3813.483       6.038727       2.089862       4529920.      0.3159779E-04   1168560.       166554.7    
  43509.46       275.0000       3814.713       6.041370       2.090326       4530826.      0.3155451E-04   1170056.       166682.5    
  43860.34       275.0000       3815.700       6.046317       2.092984       4528471.      0.3149097E-04   1172075.       167149.8    
  44211.21       275.0000       3816.955       6.047315       2.091792       4531798.      0.3146288E-04   1173175.       167014.4    
  44562.09       275.0000       3818.156       6.048050       2.089912       4535423.      0.3143674E-04   1174284.       166766.8    
  44912.96       275.0000       3819.496       6.050148       2.089940       4537006.      0.3139771E-04   1175660.       166829.8    
  45263.83       275.0000       3820.724       6.053938       2.091522       4536392.      0.3134669E-04   1177453.       167136.1    
  45614.71       275.0000       3821.843       6.057206       2.092730       4536250.      0.3129686E-04   1179053.       167378.4    
  45965.58       275.0000       3823.062       6.060745       2.094316       4535842.      0.3124637E-04   1180730.       167685.6    
  46316.46       275.0000       3824.340       6.062457       2.093750       4537917.      0.3121076E-04   1182040.       167651.1    
  46667.33       275.0000       3825.488       6.064581       2.093626       4539479.      0.3117207E-04   1183407.       167681.5    
  47018.21       275.0000       3828.261       6.075080       2.119973       4532461.      0.3107967E-04   1183477.       172053.0    
  47369.08       275.0000       3829.496       6.075387       2.117839       4536275.      0.3105356E-04   1184463.       171762.2    
  47719.96       275.0000       3830.730       6.078180       2.118431       4537027.      0.3101128E-04   1186017.       171913.6    
  48070.83       275.0000       3831.924       6.080978       2.119034       4537633.      0.3096758E-04   1187560.       172065.0    
  48421.71       275.0000       3833.116       6.083774       2.119636       4538239.      0.3092401E-04   1189103.       172216.4    
  48772.58       275.0000       3834.308       6.086566       2.120238       4538844.      0.3088056E-04   1190645.       172367.9    
  49123.46       275.0000       3835.498       6.089357       2.120840       4539449.      0.3083725E-04   1192187.       172519.3    
  49474.33       275.0000       3836.688       6.092144       2.121442       4540053.      0.3079406E-04   1193729.       172670.7    
  49825.21       275.0000       3837.916       6.095157       2.122288       4540520.      0.3075108E-04   1195337.       172863.8    
  50176.08       275.0000       3839.243       6.096986       2.121829       4542791.      0.3071952E-04   1196706.       172848.8    
  50526.95       275.0000       3840.429       6.099767       2.122430       4543394.      0.3067668E-04   1198247.       173000.1    
  50877.83       275.0000       3841.613       6.102545       2.123030       4543997.      0.3063397E-04   1199789.       173151.4    
  51228.70       275.0000       3842.797       6.105321       2.123631       4544599.      0.3059139E-04   1201330.       173302.7    
  51579.58       275.0000       3843.979       6.108094       2.124231       4545201.      0.3054892E-04   1202871.       173454.0    
  51930.45       275.0000       3845.160       6.110865       2.124831       4545802.      0.3050659E-04   1204412.       173605.3    
  52281.33       275.0000       3846.230       6.111359       2.122924       4548984.      0.3047728E-04   1205395.       173342.1    
  52632.20       275.0000       3847.409       6.114124       2.123522       4549586.      0.3043516E-04   1206934.       173493.0    
  52983.08       275.0000       3848.587       6.116886       2.124120       4550187.      0.3039316E-04   1208473.       173643.9    
  53333.95       275.0000       3849.763       6.119645       2.124718       4550787.      0.3035129E-04   1210012.       173794.7    
  53684.83       275.0000       3850.983       6.122545       2.125464       4551387.      0.3031053E-04   1211600.       173971.9    
  54035.70       275.0000       3852.157       6.125300       2.126061       4551987.      0.3026889E-04   1213139.       174122.7    
  54386.58       275.0000       3853.330       6.128053       2.126658       4552586.      0.3022737E-04   1214677.       174273.6    
  54737.45       275.0000       3854.502       6.130803       2.127255       4553184.      0.3018598E-04   1216216.       174424.4    
  55088.33       275.0000       3855.672       6.133550       2.127851       4553782.      0.3014470E-04   1217754.       174575.2    
  55439.20       275.0000       3856.842       6.136296       2.128447       4554380.      0.3010353E-04   1219292.       174726.1    
  55790.08       275.0000       3858.010       6.139038       2.129043       4554977.      0.3006249E-04   1220830.       174876.8    
  56140.95       275.0000       3859.234       6.142015       2.129887       4555506.      0.3002242E-04   1222443.       175071.1    
  56491.82       275.0000       3860.400       6.144753       2.130483       4556102.      0.2998161E-04   1223980.       175221.9    
  56842.70       275.0000       3861.565       6.147489       2.131078       4556697.      0.2994091E-04   1225517.       175372.7    
  57193.57       275.0000       3863.385       6.155989       2.137915       4552456.      0.2988686E-04   1228632.       176582.9    
  57544.45       275.0000       3864.547       6.158724       2.138512       4553048.      0.2984641E-04   1230172.       176734.8    
  57895.32       275.0000       3865.708       6.161457       2.139110       4553641.      0.2980608E-04   1231711.       176886.7    
  58246.20       275.0000       3866.867       6.164188       2.139707       4554233.      0.2976586E-04   1233250.       177038.6    
  58597.07       275.0000       3868.026       6.166916       2.140304       4554824.      0.2972575E-04   1234789.       177190.5    
  58947.95       275.0000       3869.183       6.169642       2.140901       4555415.      0.2968576E-04   1236328.       177342.3    
  59298.82       275.0000       3881.043       6.203092       2.151659       4555960.      0.2987239E-04   1253791.       179678.2    
  59649.70       275.0000       3884.603       6.219335       2.161542       4550794.      0.2986683E-04   1260571.       181498.9    
  60000.57       275.0000       3882.394       6.214942       2.157562       4554234.      0.2980380E-04   1258623.       180728.3    
  60351.45       275.0000       3886.700       6.229252       2.164966       4552470.      0.2982053E-04   1265282.       182172.7    
  60702.32       275.0000       3889.618       6.238202       2.169821       4550205.      0.2979576E-04   1269481.       183128.1    
  61053.20       275.0000       3891.226       6.246857       2.174000       4549699.      0.2978352E-04   1273268.       183910.1    
  61404.07       275.0000       3895.240       6.260262       2.180511       4549251.      0.2980669E-04   1279640.       185204.2    
  61754.94       275.0000       3896.642       6.263108       2.181259       4549363.      0.2976490E-04   1281320.       185397.9    
  62105.82       275.0000       3897.666       6.266056       2.182073       4549829.      0.2972463E-04   1282912.       185585.2    
  62456.69       275.0000       3898.549       6.270776       2.184916       4547664.      0.2966952E-04   1284864.       186111.2    
  62807.57       275.0000       3899.783       6.273538       2.185550       4548120.      0.2962978E-04   1286478.       186278.1    
  63158.44       275.0000       3900.867       6.276713       2.186669       4548152.      0.2958758E-04   1288135.       186520.9    
  63509.32       275.0000       3902.033       6.278091       2.185683       4550871.      0.2956058E-04   1289419.       186408.3    
  63860.19       275.0000       3903.233       6.281786       2.187435       4549916.      0.2951330E-04   1291229.       186764.6    
  64211.07       275.0000       3904.325       6.283155       2.186412       4552715.      0.2948678E-04   1292495.       186642.2    
  64561.94       275.0000       3905.519       6.287210       2.188597       4551197.      0.2943662E-04   1294383.       187072.7    
